PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,"Synth0001, Mr. Passenger",female,4.9,1,0,TS774916,11.3378,,Q
2,0,2,"Synth0002, Miss. Passenger",male,20.2,3,0,TS142315,17.9683,,S
3,0,3,"Synth0003, Miss. Passenger",male,28.9,0,4,TS032447,13.9836,,S
4,0,3,"Synth0004, Mr. Passenger",female,41.1,0,0,TS487528,9.1553,,S
5,1,1,"Synth0005, Mr. Passenger",female,19.0,1,0,TS736059,104.6085,,S
6,0,3,"Synth0006, Miss. Passenger",male,50.5,0,0,TS511418,26.8695,,S
7,0,3,"Synth0007, Mr. Passenger",male,,1,0,TS162180,6.7405,,S
8,0,3,"Synth0008, Mr. Passenger",male,,0,0,TS773592,7.3955,,S
9,0,1,"Synth0009, Mr. Passenger",male,49.0,1,0,TS382338,65.9725,,S
10,0,3,"Synth0010, Mr. Passenger",male,31.7,0,0,TS710122,10.4495,,S
11,0,2,"Synth0011, Mrs. Passenger",male,21.8,0,1,TS202862,54.324,,S
12,0,3,"Synth0012, Mr. Passenger",male,27.0,0,0,TS912128,21.4517,,S
13,0,3,"Synth0013, Mrs. Passenger",male,46.6,0,0,TS284278,20.8449,F53,S
14,1,3,"Synth0014, Mr. Passenger",female,48.1,1,1,TS970888,11.3904,,S
15,1,2,"Synth0015, Miss. Passenger",female,,5,0,TS377878,17.3324,,S
16,0,1,"Synth0016, Mr. Passenger",male,28.4,0,0,TS728122,40.6486,,S
17,0,3,"Synth0017, Miss. Passenger",male,30.2,0,1,TS502554,19.2175,E142,C
18,0,1,"Synth0018, Miss. Passenger",male,16.2,0,0,TS077434,107.3768,,Q
19,0,3,"Synth0019, Mr. Passenger",male,,0,0,TS099172,24.7283,E127,S
20,0,3,"Synth0020, Mrs. Passenger",female,,0,0,TS405712,11.6994,,C
21,1,3,"Synth0021, Mr. Passenger",female,43.8,1,2,TS193836,12.1103,C83,S
22,1,2,"Synth0022, Miss. Passenger",female,,1,0,TS609192,21.7748,,S
23,0,3,"Synth0023, Mrs. Passenger",female,24.7,0,0,TS138812,20.3056,,S
24,0,3,"Synth0024, Mr. Passenger",female,26.2,0,3,TS590604,6.2329,,S
25,1,3,"Synth0025, Mr. Passenger",female,37.6,0,0,TS205642,18.7835,,S
26,0,1,"Synth0026, Mr. Passenger",male,21.4,0,0,TS182262,83.1436,E94,Q
27,0,3,"Synth0027, Miss. Passenger",male,36.7,0,0,TS367693,7.6571,F78,S
28,1,1,"Synth0028, Miss. Passenger",male,27.9,0,0,TS583361,29.6219,,S
29,1,1,"Synth0029, Mr. Passenger",male,16.4,0,0,TS400073,78.4593,,S
30,0,3,"Synth0030, Mr. Passenger",male,16.6,0,0,TS350330,26.8108,,S
31,0,3,"Synth0031, Mr. Passenger",female,,1,0,TS340885,30.0328,,S
32,0,3,"Synth0032, Mrs. Passenger",male,27.0,0,0,TS339587,15.5279,,S
33,0,2,"Synth0033, Mr. Passenger",male,50.3,0,0,TS404304,53.3426,,S
34,0,2,"Synth0034, Mr. Passenger",male,22.3,0,0,TS834172,19.5752,,C
35,0,3,"Synth0035, Miss. Passenger",male,32.8,1,0,TS578405,20.9387,B84,S
36,0,1,"Synth0036, Mr. Passenger",male,60.1,0,0,TS422510,67.0341,,S
37,1,1,"Synth0037, Miss. Passenger",female,15.3,0,0,TS749792,64.9435,E30,C
38,0,3,"Synth0038, Mr. Passenger",male,4.3,0,0,TS527868,9.2645,,S
39,0,1,"Synth0039, Mr. Passenger",female,45.7,0,0,TS949089,29.9807,B89,S
40,0,3,"Synth0040, Mrs. Passenger",male,18.3,0,0,TS563309,24.7418,,S
41,0,2,"Synth0041, Mr. Passenger",male,28.7,1,1,TS216787,14.5111,,S
42,0,3,"Synth0042, Mr. Passenger",male,21.4,0,0,TS563433,8.7079,,S
43,0,3,"Synth0043, Dr. Passenger",female,,0,1,TS773822,7.2064,F21,S
44,1,2,"Synth0044, Miss. Passenger",female,,0,0,TS213908,18.0573,,S
45,0,3,"Synth0045, Miss. Passenger",male,26.7,1,0,TS202994,31.3965,B65,S
46,1,3,"Synth0046, Mr. Passenger",female,34.8,1,0,TS599853,37.0341,,S
47,0,2,"Synth0047, Mr. Passenger",male,15.9,1,0,TS884601,8.7172,F102,S
48,1,2,"Synth0048, Mr. Passenger",female,19.9,0,0,TS335288,16.7518,,S
49,0,3,"Synth0049, Master. Passenger",male,,1,2,TS507327,7.7506,C123,S
50,0,1,"Synth0050, Miss. Passenger",male,10.4,1,0,TS655364,137.6874,,S
51,1,1,"Synth0051, Mr. Passenger",female,23.5,0,0,TS663857,96.9421,,S
52,1,1,"Synth0052, Master. Passenger",male,30.5,0,0,TS146551,61.1012,,Q
53,0,3,"Synth0053, Mr. Passenger",male,23.8,1,0,TS395808,13.4804,,S
54,0,3,"Synth0054, Mr. Passenger",male,25.5,0,1,TS994120,10.2394,,S
55,1,3,"Synth0055, Mr. Passenger",male,,0,0,TS888641,29.1389,,S
56,1,3,"Synth0056, Mr. Passenger",female,20.5,0,2,TS772270,17.0889,,S
57,0,3,"Synth0057, Master. Passenger",female,,0,0,TS025196,18.1716,A67,S
58,0,3,"Synth0058, Miss. Passenger",female,,0,2,TS417833,3.4263,,C
59,1,1,"Synth0059, Mr. Passenger",male,23.0,0,1,TS052113,81.2412,A114,S
60,0,1,"Synth0060, Mr. Passenger",male,35.3,1,2,TS302050,238.0361,,S
61,0,3,"Synth0061, Mrs. Passenger",male,25.9,0,0,TS865035,25.2295,,S
62,0,3,"Synth0062, Mr. Passenger",male,33.8,0,0,TS388413,5.1624,F133,C
63,0,3,"Synth0063, Mr. Passenger",male,49.4,0,0,TS169271,11.1143,,S
64,0,3,"Synth0064, Mrs. Passenger",female,35.6,0,0,TS721486,7.1291,,S
65,1,3,"Synth0065, Mr. Passenger",female,5.9,4,0,TS759270,30.5847,,S
